iter	Passed	Remaining
199	276	1106
200	277	1101
201	277	1097
202	278	1092
203	278	1088
204	279	1084
205	280	1079
206	280	1075
207	281	1072
208	282	1068
209	283	1064
210	283	1060
211	284	1056
212	284	1052
213	285	1049
214	286	1045
215	286	1041
216	287	1037
217	288	1033
218	288	1029
219	289	1025
220	289	1021
221	290	1017
222	291	1014
223	291	1010
224	292	1006
225	292	1002
226	293	999
227	294	995
228	294	991
229	295	988
230	296	986
231	297	984
232	297	980
233	298	977
234	299	974
235	300	971
236	300	967
237	301	964
238	301	961
239	302	958
240	303	954
241	303	951
242	304	948
243	305	945
244	305	942
245	306	939
246	306	935
247	307	932
248	308	929
249	308	926
250	309	923
251	309	920
252	310	916
253	311	915
254	312	913
255	313	909
256	313	906
257	314	904
258	314	901
259	315	898
260	316	895
261	316	892
262	317	889
263	318	886
264	318	883
265	319	881
266	319	878
267	320	875
268	321	872
269	321	870
270	322	867
271	323	864
272	323	861
273	324	859
274	324	856
275	325	853
276	326	852
277	327	850
278	327	847
279	328	844
280	329	842
281	329	839
282	330	837
283	331	834
284	331	831
285	332	829
286	332	826
287	333	824
288	334	821
289	334	819
290	335	816
291	335	814
292	336	811
293	337	809
294	337	806
295	338	804
296	338	802
297	339	799
298	340	797
299	341	796
300	342	794
301	342	791
302	343	789
303	343	787
304	344	784
305	345	782
306	345	780
307	346	777
308	346	775
309	347	773
310	348	771
311	348	768
312	349	766
313	349	764
314	350	762
315	351	759
316	351	757
317	352	755
318	352	753
319	353	751
320	354	749
321	355	747
322	357	748
323	357	746
324	358	744
325	359	742
326	359	740
327	360	738
328	360	736
329	361	733
330	362	731
331	362	729
332	363	727
333	363	725
334	364	723
335	365	721
336	365	719
337	366	717
338	366	715
339	367	713
340	368	711
341	368	709
342	369	707
343	369	705
344	370	703
345	371	702
346	372	700
347	373	698
348	373	696
349	374	695
350	374	693
351	375	691
352	376	689
353	376	687
354	377	685
355	377	683
356	378	681
357	379	679
358	379	678
359	380	676
360	380	674
361	381	672
362	382	670
363	382	668
364	383	667
365	384	665
366	384	663
367	385	661
368	386	660
369	387	659
370	387	657
371	388	655
372	389	653
373	389	652
374	390	650
375	390	648
376	391	646
377	392	645
378	392	643
379	393	641
380	393	639
381	394	638
382	395	636
383	395	634
384	396	633
385	396	631
386	397	629
387	398	628
388	398	626
389	399	624
390	400	623
391	400	621
392	401	620
393	402	618
394	402	617
395	403	615
396	404	613
397	404	612
398	405	610
399	405	608
400	406	607
401	407	605
402	407	604
403	408	602
404	408	600
405	409	599
406	410	597
407	410	596
408	411	594
409	412	593
410	412	591
411	413	589
412	413	588
413	414	586
414	415	585
415	416	584
416	416	582
417	417	581
418	418	579
419	418	578
420	419	576
421	420	575
422	420	573
423	421	572
424	421	570
425	422	569
426	423	567
427	423	566
428	424	564
429	424	563
430	425	561
431	426	560
432	426	558
433	427	557
434	427	555
435	428	554
436	429	552
437	429	551
438	430	549
439	431	549
440	432	547
441	432	546
442	433	545
443	434	543
444	434	542
445	435	540
446	435	539
447	436	537
448	437	536
449	437	534
450	438	533
451	438	532
452	439	530
453	440	529
454	440	527
455	441	526
456	442	525
457	442	523
458	443	522
459	443	521
460	444	519
461	445	518
462	445	516
463	446	516
464	447	514
465	447	513
466	448	511
467	449	510
468	449	509
469	450	507
470	450	506
471	451	505
472	452	503
473	452	502
474	453	501
475	453	499
476	454	498
477	455	497
478	455	495
479	456	494
480	457	493
481	457	491
482	458	490
483	458	489
484	459	487
485	460	486
486	461	485
487	461	484
488	462	483
489	463	482
490	463	480
491	464	479
492	464	478
